Downloaded for distibution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%							MPN	0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+		
		Nut_Sample	Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity	Enterococcus	Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments	
yes	yes	yes	no	no	60	Makena/Wailea	DHS	JD	BS	MS	MAN	MAN210310		Ahihi North	2021-03-10	9:30	2	2	4	2	2					MAN210310	25.0	34.9	7.62	111.6	8.17	1.41	1.48	1.20	1.36	0.107					0	3	0	#2 % reading:111.4% O2	
yes	yes	yes	no	no	60	Makena/Wailea	DHS	JD	BS	MS	MAS	MAS210310		Ahihi South	2021-03-10	9:48	2	2	4	2	2					MAS210310	25.4	35.0	6.75	99.6	8.14	1.20	1.52	1.43	1.38	0.119					3	5	0	low tide	
yes	yes	yes	no	no	61	Makena/Wailea	DHS	JD	BS	MS	KCP	KCP210331		Cove Park	2021-03-31	8:37	1	1	3	1	1					KCP210331	25.4	32.4	6.72	98.3	8.10	5.26	4.23	4.28	4.59	0.127					20	2	0		
yes	yes	yes	no	no	61	Makena/Wailea	DHS	JD	BS	MS	MMB	MMB210331		S Maluaka Beach	2021-03-31	9:08	1	1	3	1	1					MMB210331	25.4	34.3	6.86	101.1	8.13	2.78	2.78	2.68	2.75	0.021					6	3	0	3.4 ft waves at Maluaka Beach	
yes	yes	yes	no	no	61	Makena/Wailea	DHS	JD	BS	MS	MAN	MAN210331		Ahihi North	2021-03-31	9:33	1	1	3	1	1					MAN210331	25.1	35.3	7.24	106.8	8.13	1.56	1.44	1.36	1.45	0.069					0	0	0	3 ft waves at Ahihi Cove	
yes	yes	yes	no	no	61	Makena/Wailea	DHS	JD	BS	MS	MAS	MAS210331		Ahihi South	2021-03-31	9:52	1	1	3	1	1					MAS210331	25.4	34.5	6.84	101.3	8.11	2.14	2.18	1.99	2.10	0.048					16	35		Jeep informed Tiara they noticed high oxygen reading but it was too late to re-take it. 	
yes	yes	yes	no	no	62	Makena/Wailea	DHS	JD	BS	MS	KCP	KCP210421		Cove Park	2021-04-21	8:35	2	2	4	2	2					KCP210421	25.8	31.2	6.23	91.0	8.07	2.14	2.17	2.09	2.13	0.019					3	2	0		
yes	yes	yes	no	no	62	Makena/Wailea	DHS	JD	BS	MS	MMB	MMB210421		S Maluaka Beach	2021-04-21	9:19	2	2	4	2	2					MMB210421	25.4	35.0	6.34	94.0	8.13	0.51	0.53	0.62	0.55	0.106					4	7	0		
yes	yes	yes	no	no	62	Makena/Wailea	DHS	JD	BS	MS	MAN	MAN210421		Ahihi North	2021-04-21	9:38	2	2	4	2	2					MAN210421	25.1	34.7	6.88	101.1	8.08	1.24	0.82	0.87	0.98	0.235					0	0	0		
yes	yes	yes	no	no	62	Makena/Wailea	DHS	JD	BS	MS	MAS	MAS210421		Ahihi South	2021-04-21	10:00	2	2	4	2	2					MAS210421	25.1	34.6	6.48	95.3	8.10	0.67	0.80	0.69	0.72	0.097					5	11	0		
yes	yes	yes	no	no	63	Makena/Wailea	DHS	JD	BS	MS	KCP	KCP210512		Cove Park	2021-05-12	8:37	1	1	3	1	1					KCP210512	25.9	32.1	6.62	98.0	8.08	2.55	2.49	2.46	2.55	0.018					0	2	2	1 dog in water	
yes	yes	yes	no	no	63	Makena/Wailea	DHS	JD	BS	MS	MMB	MMB210512		S Maluaka Beach	2021-05-12	9:10	1	1	3	1	1					MMB210512	25.8	34.2	6.64	98.7	8.09	1.24	1.17	1.16	1.24	0.035					4	14	0		
yes	yes	yes	no	no	63	Makena/Wailea	DHS	JD	BS	MS	MAN	MAN210512		Ahihi North	2021-05-12	9:34	1	1	3	1	1					MAN210512	25.5	35.1	7.51	111.6	8.12	1.36	1.55	1.28	1.36	0.102					2	10	0		
yes	yes	yes	no	no	63	Makena/Wailea	DHS	JD	BS	MS	MAS	MAS210512		Ahihi South	2021-05-12	9:49	1	1	3	1	1					MAS210512	25.2	34.8	6.70	99.0	8.05	1.53	1.44	1.70	1.53	0.086					3	10	0		
yes	yes	yes	no	no	64	Makena/Wailea	DHS	JD	BS	MS	KCP	KCP210602		Cove Park	2021-06-02	8:36	2	2	4	2	2					KCP210602	27.2	32.4	6.55	98.6	8.06	2.29	2.18	2.64	2.37	0.101					3	3	0	Dog in water; retested blank 2x (0.22 NTU, 0.24 NTU); 2 men and 2 dogs live at Cove Park on South end 	
yes	yes	yes	no	no	64	Makena/Wailea	DHS	JD	BS	MS	MMB	MMB210602		S Maluaka Beach	2021-06-02	9:22	2	2	4	2	2					MMB210602	26.4	35.6	6.53	98.5	8.14	0.92	0.93	0.89	0.91	0.023					11	16	0		
yes	yes	yes	no	no	64	Makena/Wailea	DHS	JD	BS	MS	MAN	MAN210602		Ahihi North	2021-06-02	9:47	2	2	4	2	2					MAN210602	26.2	35.6	7.09	106.7	8.12	0.80	1.04	1.02	0.95	0.140					1	5	0		
yes	yes	yes	no	no	64	Makena/Wailea	DHS	JD	BS	MS	MAS	MAS210602		Ahihi South	2021-06-02	10:06	2	2	4	2	2					MAS210602	26.5	35.3	6.62	100.2	8.08	0.90	0.84	0.68	0.81	0.141					7	16	0	second salinity tested - 35.2	
yes	yes	yes	no	no	65	Makena/Wailea	DHS	NS	TS		KCP	KCP210623		Cove Park	2021-06-23	8:48	1	1	3	1	1					KCP210623	27.2	31.9	6.91	104.1	8.09	4.30	4.59	3.39	4.09	0.153					2	2	1	Dog near sampling area; 1 camper is man who lives here; 2 dogs total. Took 5th reading and was 3.94.	
yes	yes	yes	no	no	65	Makena/Wailea	DHS	NS	TS		MMB	MMB210623		S Maluaka Beach	2021-06-23	9:31	1	1	3	1	1					MMB210623	27.0	34.8	6.51	99.2	8.12	1.17	1.14	1.28	1.20	0.062					18	17	0	Swimmers nearby.	
yes	yes	yes	no	no	65	Makena/Wailea	DHS	NS	TS		MAN	MAN210623		Ahihi North	2021-06-23	10:00	1	1	3	1	1					MAN210623	26.5	35.4	7.39	111.9	8.13	1.86	1.65	1.52	1.68	0.102					7	5	0	Snorkelers getting out near sampling site; small waves.	
yes	yes	yes	no	no	65	Makena/Wailea	DHS	NS	TS		MAS	MAS210623		Ahihi South	2021-06-23	10:21	1	1	3	1	1					MAS210623	27.4	35.2	6.62	101.8	8.1	2.37	2.32	2.19	2.29	0.041					3	12	0	Some swell (per usual); low tide. 	
yes	yes	yes	no	no	66	Makena/Wailea	DHS	NS	BS	AW	KCP	KCP210714		Cove Park	2021-07-14	9:00	2	1	4	2	2					KCP210714	27.1	33.3	6.18	93.5	8.10	3.65	4.18	4.64	4.16	0.119					80	20	0	Volunteers forgot to read the blank vial. They dumped it on accident before reading it. 	
yes	yes	yes	no	no	66	Makena/Wailea	DHS	NS	BS	AW	MMB	MMB210714		S Maluaka Beach	2021-07-14	9:34	2	1	4	2	2					MMB210714	27.2	35.3	6.38	98.0	8.13	0.47	0.72	0.68	0.62	0.215					22	31	0		
yes	yes	yes	no	no	66	Makena/Wailea	DHS	NS	BS	AW	MAN	MAN210714		Ahihi North	2021-07-14	9:46	2	1	4	2	2					MAN210714	26.8	34.9	7.40	112.3	8.10	0.79	0.91	0.83	0.84	0.072					3	9	0		
yes	yes	yes	no	no	66	Makena/Wailea	DHS	NS	BS	AW	MAS	MAS210714		Ahihi South	2021-07-14	10:15	2	1	4	2	2					MAS210714	26.5	35.0	6.34	96.0	8.10	1.21	1.11	1.26	1.19	0.064					8	18	0		
yes	yes	yes	no	no	67	Makena/Wailea	NMS	NS	BS	AW	KCP	KCP210804		Cove Park	2021-08-04	8:45	1	1	3	1	3					KCP210804	26.5	32.7	6.19	92.3	8.07	4.17	4.18	4.08	4.14	0.013					0	2	2	campers with 2 dogs live at beach; surf school people off in distance 30+	
yes	yes	yes	no	no	67	Makena/Wailea	NMS	NS	BS	AW	MMB	MMB210804		S Maluaka Beach	2021-08-04	9:20	1	1	3	1	3					MMB210804	27.1	35.4	6.38	97.7	8.14	0.94	0.94	1.00	0.96	0.036					4	5	0	Nancy Sharpe accidentally signed in the "team lead" box	
yes	yes	yes	no	no	67	Makena/Wailea	NMS	NS	BS	AW	MAN	MAN210804		Ahihi North	2021-08-04	9:35	1	1	3	1	3					MAN210804	26.7	35.4	7.52	114.5	8.17	1.24	1.68	2.03	1.65	0.240					4	3	0		
yes	yes	yes	no	no	67	Makena/Wailea	NMS	NS	BS	AW	MAS	MAS210804		Ahihi South	2021-08-04	9:45	1	1	3	1	3					MAS210804	26.7	35.5	6.61	100.7	8.14	0.71	0.71	0.71	0.71	0.000					11	18	0		
yes	yes	yes	no	no	68	Makena/Wailea	NMS	NS	BS	AW	KCP	KCP210825		Cove Park	2021-08-25	8:35	2	3	4	2	2					KCP210825	26.9	34.2	6.03	91.4	8.12	0.84	0.87	0.95	0.89	0.064				N	3	0	1	homeless encampment at shoreline looks permanent	
yes	yes	yes	no	no	68	Makena/Wailea	NMS	NS	BS	AW	MMB	MMB210825		S Maluaka Beach	2021-08-25	9:12	2	3	4	2	2					MMB210825	27.2	35.5	6.30	96.8	8.15	1.42	1.51	1.47	1.47	0.031				N	2	24	0	Beach wedding group	
yes	yes	yes	no	no	68	Makena/Wailea	NMS	NS	BS	AW	MAN	MAN210825		Ahihi North	2021-08-25	9:28	2	3	4	2	2					MAN210825	26.8	35.6	6.67	101.8	8.10	1.11	1.08	1.27	1.15	0.089				N	3	5	0		
yes	yes	yes	no	no	68	Makena/Wailea	NMS	NS	BS	AW	MAS	MAS210825		Ahihi South	2021-08-25	9:45	2	3	4	2	2					MAS210825	26.8	35.2	6.56	100.0	8.12	1.10	1.38	1.24	1.24	0.113				N	9	11	0		
yes	yes	yes	yes	no	69	Makena/Wailea	NMS	NS	BS	AW	KCP	KCP210915		Cove Park	2021-09-15	8:50	1	3	3	1	3					KCP210915	26.0	32.9	6.37	94.6	8.10	6.56	7.41	8.79	7.59	0.148				N	15	2	3	Triplicate sampling at the Cove for UH Maui Lab and SOEST Lab comparison.	
yes	yes	yes	no	no	69	Makena/Wailea	NMS	NS	BS	AW	MMB	MMB210915		S Maluaka Beach	2021-09-15	9:47	1	3	3	1	3					MMB210915	27.3	35.4	6.29	97.1	8.15	0.91	1.27	0.86	1.01	0.221				N	16	14	0		
yes	yes	yes	no	no	69	Makena/Wailea	NMS	NS	BS	AW	MAN	MAN210915		Ahihi North	2021-09-15	10:05	1	3	3	1	3					MAN210915	26.8	35.5		#N/A	8.16	1.17	1.24	1.21	1.21	0.029				N	4	3	0		
yes	yes	yes	no	no	69	Makena/Wailea	NMS	NS	BS	AW	MAS	MAS210915		Ahihi South	2021-09-15	10:25	1	3	3	1	3					MAS210915	26.7	35.6	6.65	101.6	8.15	0.90	0.87	0.95	0.91	0.045				N	7	13	0		
yes	yes	yes	no	no	70	Makena/Wailea	NMS	NS	AW		KCP	KCP211006		Cove Park	2021-10-06	8:55	2	2	4	2	2					KCP211006	26.3	33.2	6.39	95.2	8.09	12.10	12.80	9.63	11.51	0.145				N	0	0	2	Dog in H2O at collection area. Beach side campsite. 	
yes	yes	yes	no	no	70	Makena/Wailea	NMS	NS	AW		MMB	MMB211006		S Maluaka Beach	2021-10-06	9:30	2	2	4	2	2					MMB211006	26.5	35.6	6.29	95.7	8.14	1.93	2.20	2.96	2.36	0.226				N	12	12	0	short break 3'	
yes	yes	yes	no	no	70	Makena/Wailea	NMS	NS	AW		MAN	MAN211006		Ahihi North	2021-10-06	9:50	2	2	4	2	2					MAN211006	26.2	35.7	6.83	103.2	8.12	1.03	1.99	1.63	1.55	0.313				N	2	4	0	Wanted to calibrate Turb. #2 on 10/6/21 because 16 NTU difference between high standard but calibration standards at WM lab. 	
yes	yes	yes	no	no	70	Makena/Wailea	NMS	NS	AW		MAS	MAS211006		Ahihi South	2021-10-06	10:05	2	2	4	2	2					MAS211006	26.0	35.5	6.51	98.3	8.14	2.27	2.18	1.99	2.15	0.067				N	13	9	0		
yes	yes	yes	no	no	71	Makena/Wailea	NMS	AW	BS	MS	KCP	KCP211027		Cove Park	2021-10-27	8:30	1	2	4	1	3					KCP211027	26.3	34.9	6.01	90.4	8.15	2.86	2.34	3.01	2.74	0.128				N	0	5	2	2 dogs swimming. 	
yes	yes	yes	no	no	71	Makena/Wailea	NMS	AW	BS	MS	MMB	MMB211027		S Maluaka Beach	2021-10-27	8:55	1	2	4	1	3					MMB211027	26.7	35.8	6.37	97.0	8.19	0.68	0.56	0.56	0.60	0.115				N	3	16	0	Calm and clear water at all sites. 	
yes	yes	yes	no	no	71	Makena/Wailea	NMS	AW	BS	MS	MAN	MAN211027		Ahihi North	2021-10-27	9:20	1	2	4	1	3					MAN211027	26.5	35.8	6.71	102.0	8.17	0.63	0.66	0.71	0.67	0.061				N	0	2	0	Nancy accidentally signed in my "Team Lead" place. 	
yes	yes	yes	no	no	71	Makena/Wailea	NMS	AW	BS	MS	MAS	MAS211027		Ahihi South	2021-10-27	9:40	1	2	4	1	3					MAS211027	26.5	35.8	6.38	96.9	8.18	0.78	0.55	0.50	0.61	0.245				N	9	5	0		
yes	yes	yes	no	no	72	Makena/Wailea	NMS	AW	BS	MS	KCP	KCP211117		Cove Park	2021-11-17	8:30	2	2	4	2	2					KCP211117	26.5	32.3	5.99	89.2	8.08	3.19	2.84	2.97	3.00	0.059				N	0	0	yes	2 dogs in H2O. Fish campers at shore = permanent site. 4th reading: 3.19	
yes	yes	yes	no	no	72	Makena/Wailea	NMS	AW	BS	MS	MMB	MMB211117		S Maluaka Beach	2021-11-17	9:10	2	2	4	2	2					MMB211117	26.7	35.2	6.51	99.0	8.16	0.63	0.58	0.68	0.63	0.079				N	4	16	0		
yes	yes	yes	no	no	72	Makena/Wailea	NMS	AW	BS	MS	MAN	MAN211117		Ahihi North	2021-11-17	9:20	2	2	4	2	2					MAN211117	26.8	34.6	7.62	115.6	8.12	2.44	2.86	2.24	2.51	0.126				N	6	12	0		
yes	yes	yes	no	no	72	Makena/Wailea	NMS	AW	BS	MS	MAS	MAS211117		Ahihi South	2021-11-17	9:42	2	2	4	2	2					MAS211117	26.9	34.4	6.54	99.4	8.09	0.84	0.88	0.81	0.84	0.042				N	7	5	0		
yes	yes	yes	no	no	73	Makena/Wailea	NMS	BS	MS		KCP	KCP211215		Cove Park	2021-12-15	8:45	1	2	4	1	3					KCP211215	25.2	33.6	5.58	81.8	8.10	3.94	3.09	4.19	3.74	0.154				N	1	0	2	When do gel standards expire?	
yes	yes	yes	no	no	73	Makena/Wailea	NMS	BS	MS		MMB	MMB211215		S Maluaka Beach	2021-12-15	9:19	1	2	4	1	3					MMB211215	24.9	35.0	6.55	96.3	8.14	1.49	1.85	2.39	1.91	0.237				N	9	4	0		
yes	yes	yes	no	no	73	Makena/Wailea	NMS	BS	MS		MAN	MAN211215		Ahihi North	2021-12-15	9:40	1	2	4	1	3					MAN211215	25.1	35.0	7.59	111.9	8.12	1.86	2.00	1.94	1.93	0.036				N	6	0	0		
yes	yes	yes	no	no	73	Makena/Wailea	NMS	BS	MS		MAS	MAS211215		Ahihi South	2021-12-15	10:03	1	2	4	1	3					MAS211215	25.6	35.0	6.50	96.8	8.09	1.00	1.18	1.18	1.12	0.093				N	4	9	0		
yes	yes	yes	no	no	74	Makena/Wailea	NMS	AW	BS	JD	KCP	KCP220105		Cove Park	2022-01-05	8:13	2	2	4	2	2					KCP220105	24.6	34.7	6.15	95.1	8.11	4.24	4.83	5.48	4.85	0.128				N	0	3	2	Used new store bought distilled water for post-sampling blank. Had a hard time getting it below 0.10 NTU.	
yes	yes	yes	no	no	74	Makena/Wailea	NMS	AW	BS	JD	MMB	MMB220105		S Maluaka Beach	2022-01-05	8:49	2	2	4	2	2					MMB220105	24.9	35.4	6.70	98.8	8.17	1.37	1.72	1.65	1.58	0.118				N	0	0	0		
yes	yes	yes	no	no	74	Makena/Wailea	NMS	AW	BS	JD	MAN	MAN220105		Ahihi North	2022-01-05	9:13	2	2	4	2	2					MAN220105	24.8	35.3	7.07	103.9	8.08	1.34	1.49	1.99	1.61	0.212				N	4	1	0		
yes	yes	yes	no	no	74	Makena/Wailea	NMS	AW	BS	JD	MAS	MAS220105		Ahihi South	2022-01-05	9:34	2	2	4	2	2					MAS220105	24.9	35.3	6.51	96.0	8.10	1.52	1.60	2.16	1.76	0.198				N	4	5	0		
yes	yes	yes	no	no	75	Makena/Wailea	NMS	BS	JD		KCP	KCP220126		Cove Park	2022-01-26	8:30	1	1	5	1	3					KCP220126	24.1	33.5	6.55	94.3	8.10	2.96	3.44	2.85	3.08	0.102				N	0	0	2		
yes	yes	yes	no	no	75	Makena/Wailea	NMS	BS	JD		MMB	MMB220126		S Maluaka Beach	2022-01-26	9:05	1	1	5	1	3					MMB220126	24.3	35.9	6.81	100.1	8.15	0.76	0.84	0.79	0.80	0.051				N	1	3	0		
yes	yes	yes	no	no	75	Makena/Wailea	NMS	BS	JD		MAN	MAN220126		Ahihi North	2022-01-26	9:29	1	1	5	1	3					MAN220126	24.5	35.9	7.21	105.8	8.16	0.79	0.80	0.77	0.79	0.019				N	3	7	0		
yes	yes	yes	no	no	75	Makena/Wailea	NMS	BS	JD		MAS	MAS220126		Ahihi South	2022-01-26	9:50	1	1	5	1	3					MAS220126	24.8	35.8	6.19	102.1	8.17	1.76	2.07	2.11	1.98	0.097				N	2	7	0	Large wave, rough surf	
yes	yes	yes	no	no	76	Makena/Wailea	GBG	BS	JD	MS	KCP	KCP220216		Cove Park	2022-02-16	8:28	2	2	4	2	2					KCP220216	24.1	35.3	6.84	99.7	8.11	7.82	7.32	7.35	7.50	0.037				N	3	2	2	Large waves	
yes	yes	yes	no	no	76	Makena/Wailea	GBG	BS	JD	MS	MMB	MMB220216		S Maluaka Beach	2022-02-16	9:06	2	2	4	2	2					MMB220216	24.4	35.7	6.92	101.4	8.15	2.81	2.89	2.80	2.83	0.017				N	0	0	0	Large shore breaking waves	
yes	yes	yes	no	no	76	Makena/Wailea	GBG	BS	JD	MS	MAN	MAN220216		Ahihi North	2022-02-16	9:32	2	2	4	2	2					MAN220216	24.3	35.7	7.33	107.0	8.15	1.41	1.61	1.67	1.56	0.087				N	0	0	0	Repeat O2% - 106.8	
yes	yes	yes	no	no	76	Makena/Wailea	GBG	BS	JD	MS	MAS	MAS220216		Ahihi South	2022-02-16	9:48	2	2	4	2	2					MAS220216	24.6	35.7	6.90	101.3	8.15	3.10	3.10	2.82	3.01	0.054				N	2	5	0	Relinquished to "GBG" - George Burnette Garage	
yes	yes	yes	no	no	77	Makena/Wailea	YSK	AW	NS	JD	KCP	KCP220309		Cove Park	2022-03-09	8:19	1	1	5	1	3					KCP220309	25.0	31.4	6.08	88.0	8.04	5.57	5.78	5.44	5.60	0.031				N	0	3	2		
yes	yes	yes	no	no	77	Makena/Wailea	YSK	AW	NS	JD	MMB	MMB220309		S Maluaka Beach	2022-03-09	8:59	1	1	5	1	3					MMB220309	24.6	35.2	6.77	99.4	8.14	0.58	0.86	0.76	0.73	0.193				N	3	4	0		
yes	yes	yes	no	no	77	Makena/Wailea	YSK	AW	NS	JD	MAN	MAN220309		Ahihi North	2022-03-09	9:24	1	1	5	1	3					MAN220309	24.9	34.9	7.71	113.4	8.07	1.90	1.58	1.75	1.74	0.092				N	6	11	0		
yes	yes	yes	no	no	77	Makena/Wailea	YSK	AW	NS	JD	MAS	MAS220309		Ahihi South	2022-03-09	9:45	1	1	5	1	3					MAS220309	25.2	34.2	6.74	99.4	8.03	0.80	0.80	0.80	0.80	0.000				N	8	6	0		
yes	yes	yes	no	no	78	Makena/Wailea	NMS	JD	MS	BS	KCP	KCP220330		Cove Park	2022-03-30	8:20	2	2	4	2	2					KCP220330	25.1	33.1	6.45	94.1	8.12	2.06	2.23	2.44	2.24	0.085				N	1	1	2	2 dogs on beach	
yes	yes	yes	no	no	78	Makena/Wailea	NMS	JD	MS	BS	MMB	MMB220330		S Maluaka Beach	2022-03-30	9:02	2	2	4	2	2					MMB220330	24.9	35.0	6.62	97.3	8.14	1.03	0.76	1.10	0.96	0.186				N	5	23	0		
yes	yes	yes	no	no	78	Makena/Wailea	NMS	JD	MS	BS	MAN	MAN220330		Ahihi North	2022-03-30	9:25	2	2	4	2	2					MAN220330	24.8	35.1	6.73	98.6	8.07	0.92	0.92	0.95	0.93	0.019				N	5	5	0		
yes	yes	yes	no	no	78	Makena/Wailea	NMS	JD	MS	BS	MAS	MAS220330		Ahihi South	2022-03-30	9:43	2	2	4	2	2					MAS220330	24.8	33.8	6.43	93.6	8.00	0.73	0.69	0.82	0.75	0.089				N	15	10	0		
yes	yes	yes	no	no	79	Makena/Wailea	NMS	BS	MS		KCP	KCP220420		Cove Park	2022-04-20	8:30	1	1	5	1	3					KCP220420	24.8	32.2	6.51	93.8	8.09	13.80	17.60	17.60	16.33	0.134				N	4	3	1	read 0.19 empty of turb. bottle water (1st prereading sample)	
yes	yes	yes	no	no	79	Makena/Wailea	NMS	BS	MS		MMB	MMB220420		S Maluaka Beach	2022-04-20	9:14	1	1	5	1	3					MMB220420	25.2	35.3	6.57	97.2	8.15	1.23	1.38	1.09	1.23	0.118				N	12	14	0		
yes	yes	yes	no	no	79	Makena/Wailea	NMS	BS	MS		MAN	MAN220420		Ahihi North	2022-04-20	9:30	1	1	5	1	3					MAN220420	24.7	35.7	6.95	102.3	8.12	1.39	1.94	1.88	1.74	0.174				N	4	4	0		
yes	yes	yes	no	no	79	Makena/Wailea	NMS	BS	MS		MAS	MAS220420		Ahihi South	2022-04-20	9:40	1	1	5	1	3					MAS220420	24.9	35.1	6.47	95.2	8.08	1.95	2.00	2.08	2.01	0.033				N	7	14	0		
yes	yes	Yes	no	no	80	Makena/Wailea	NMS	BS	MS	MM	KCP	KCP220511		Cove Park	2022-05-11	8:11	2	1	4	2	2					KCP220511	25.3	31.3	6.28	91.1	8.08	3.35	3.67	3.76	3.59	0.060				N	0	8	2	1 dog in water	
yes	yes	Yes	no	no	80	Makena/Wailea	NMS	BS	MS	MM	MMB	MMB220511		S Maluaka Beach	2022-05-11	8:53	2	1	4	2	2					MMB220511	25.8	34.4	6.43	95.8	8.14	0.83	0.78	0.79	0.80	0.033				N	3	3	0		
yes	yes	Yes	no	no	80	Makena/Wailea	NMS	BS	MS	MM	MAN	MAN220511		Ahihi North	2022-05-11	9:26	2	1	4	2	2					MAN220511	25.0	34.6	7.34	107.8	8.10	0.89	1.14	1.47	1.17	0.249				N	0	0	0	did 2nd reading for DO- 107.8	
yes	yes	Yes	no	no	80	Makena/Wailea	NMS	BS	MS	MM	MAS	MAS220511		Ahihi South	2022-05-11	9:51	2	1	4	2	2					MAS220511	25.7	35.2	6.47	96.8	8.11	1.01	1.10	1.12	1.08	0.054				N	8	7	0		
yes	yes	yes	no	no	81	Makena/Wailea	NMS	BS	JD	MM	KCP	KCP220601		Cove Park	2022-06-01	8:18	1	1	5	1	3					KCP220601	26.7	32.1	6.58	98.5	8.07	7.55	7.60	8.30	7.82	0.054				N	8	0	2	4th reading for KCP 9.59	
yes	yes	yes	no	no	81	Makena/Wailea	NMS	BS	JD	MM	MMB	MMB220601		S Maluaka Beach	2022-06-01	9:04	1	1	5	1	3					MMB220601	25.8	34.9	6.56	98.4	8.12	2.07	2.35	2.21	2.21	0.063				N	4	26	0	high surf advisory this week - s. swell	
yes	yes	yes	no	no	81	Makena/Wailea	NMS	BS	JD	MM	MAN	MAN220601		Ahihi North	2022-06-01	9:30	1	1	5	1	3					MAN220601	25.5	35.4	6.80	101.4	8.14	2.04	2.07	2.26	2.12	0.056				N	0	0	0	water was up on road early in am	
yes	yes	yes	no	no	81	Makena/Wailea	NMS	BS	JD	MM	MAS	MAS220601		Ahihi South	2022-06-01	9:46	1	1	5	1	3					MAS220601	25.6	35.0	6.63	99.1	8.14	2.99	4.33	3.15	3.49	0.210				N	0	0	0	4th reading turb 3.75; high water mark to fence	
yes	yes	yes	no	no	82	Makena/Wailea	NMS	BS	JD	MS	KCP	KCP220622		Cove Park	2022-06-22	8:38	2	2	4	2	2					KCP220622	26.6	32.9	6.36	95.0	8.12	9.23	10.10	8.22	9.18	0.102				N	0	0	0	4th 10.5 & 5th 9.23 turb readings	
yes	yes	yes	no	no	82	Makena/Wailea	NMS	BS	JD	MS	MMB	MMB220622		S Maluaka Beach	2022-06-22	9:20	2	2	4	2	2					MMB220622	26.7	35.2	6.39	96.9	8.16	3.67	3.73	4.13	3.84	0.065				N	7	18	0	shore brake/south swell	
yes	yes	yes	no	no	82	Makena/Wailea	NMS	BS	JD	MS	MAN	MAN220622		Ahihi North	2022-06-22	9:38	2	2	4	2	2					MAN220622	26.1	35.5	6.90	103.9	8.17	1.53	1.65	1.79	1.66	0.079				N	0	5	0	shore brake/south swell	
yes	yes	yes	no	no	82	Makena/Wailea	NMS	BS	JD	MS	MAS	MAS220622		Ahihi South	2022-06-22	9:58	2	2	4	2	2					MAS220622	26.6	35.6	6.62	100.6	8.18	1.48	1.38	1.41	1.42	0.036				N	4	8	0	shore brake/south swell	
yes	yes	yes	no	no	83	Makena/Wailea	NMS	BS	DB	LY	KCP	KCP220713		Cove Park	2022-07-13	8:25	1	2	5	1	3					KCP220713	26.4	32.7	6.63	98.8	8.11	4.51	5.17	4.18	4.62	0.109				N	2	5	1	Dog in water; Camper/fisherman on shore; extreme low tide; King Tide Moon; 4th turbidity reading taken; Sample water looks cloudy.	
yes	yes	yes	no	no	83	Makena/Wailea	NMS	BS	DB	LY	MMB	MMB220713		S Maluaka Beach	2022-07-13	9:01	1	2	5	1	3					MMB220713	26.7	34.8	6.43	97.7	9.13	2.58	2.82	2.13	2.51	0.140				N	10	12	0	Low tide; Kyack off shore; sandy shore break; 4th turbidity reading.	
yes	yes	yes	no	no	83	Makena/Wailea	NMS	BS	DB	MS	MAN	MAN220713		Ahihi North	2022-07-13	9:30	1	2	5	1	3					MAN220713	26.1	35.0	6.68	100.4	8.13	3.65	3.83	4.15	3.88	0.065				N	0	0	0	Low tide; off shore break; overcast; 4th turbididty reading	
yes	yes	yes	no	no	83	Makena/Wailea	NMS	BS	DB	MS	MAS	MAS220713		Ahihi South	2022-07-13	10:00	1	2	5	1	3					MAS220713	26.2	34.9	6.59	99.2	8.17	6.46	6.45	5.76	6.22	0.064				N	1	2	0	Extreme low tide; south swell; overcast; 4th turbidity reading.	
yes	yes	yes	no	no	84	Makena/Wailea	NMS	BS	DB	MM	KCP	KCP220803		Cove Park	2022-08-03	8:12	2	2	4	2	2					KCP220803	26.2	33.7	6.00	89.9	8.08	10.00	13.20	18.60	13.93	0.312				N	6	0	1	Moderate swell, mid-tide, clear sky	
yes	yes	yes	no	no	84	Makena/Wailea	NMS	BS	DB	MM	MMB	MMB220803		S Maluaka Beach	2022-08-03	8:54	2	2	4	2	2					MMB220803	26.9	35.8	6.31	97.1	8.18	0.67	0.88	0.82	0.79	0.137				N	5	10	0	4th reading of turbidity 0.88	
yes	yes	yes	no	no	84	Makena/Wailea	NMS	BS	DB	MM	MAN	MAN220803		Ahihi North	2022-08-03	9:28	2	2	4	2	2					MAN220803	26.8	35.7	7.18	109.8	8.16	0.85	0.94	0.92	0.90	0.052				N	8	7	0	active with snorklers @ shoreline	
