Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	2017-03-17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Sample	Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity		Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
yes	yes	yes	no	no	20	North Kihei	NMS	GB	JS		NKC	NKC180913		Kihei Canoe Club	2018-09-13	9:50	2	2	2	2	2	4	4	3	Trades	NKC180913	28.1	34.9	6.41	99.9	8.18	2.17	2.36	2.93	2.49	0.159		1	1		0	0	0	
yes	yes	yes	no	no	20	North Kihei	NMS	GB	JS		NMP	NMP180913		Mai Poina Oe Iau	2018-09-13	10:11	2	2	2	2	2	4	4	3	Trades	NMP180913	27.7	34.1	6.46	99.7	8.17	3.05	3.07	3.12	3.08	0.012		1	2		0	0	0	
yes	yes	yes	no	no	21	North Kihei	NMS	FB	RR	GB	NHP	NHP181004		Haycraft Park	2018-10-04	8:20	1	1	1	1	1					NHP181004	27.4	35.0	6.69	103.0	8.15	4.33	4.76	4.32	4.47	0.056					1	4	5	
yes	yes	yes	no	no	21	North Kihei	NMS	FB	RR	GB	NKP	NKP181004		Kealia Pond	2018-10-04	8:46	1	1	1	1	1					NKP181004	27.5	35.3	6.74	104.0	8.17	3.08	3.5	2.93	3.17	0.093				0	0	0	0	
yes	yes	yes	no	no	21	North Kihei	NMS	FB	RR	GB	NSB	NSB181004		Sugar Beach	2018-10-04	9:10	1	1	1	1	1					NSB181004																		beach not sampled due to high surf
yes	yes	yes	no	no	21	North Kihei	NMS	FB	RR	GB	NKC	NKC181004		Kihei Canoe Club	2018-10-04	9:25	1	1	1	1	1					NKC181004																		beach not sampled due to high surf
yes	yes	yes	no	no	21	North Kihei	NMS	FB	RR	GB	NMP	NMP181004		Mai Poina Oe Iau	2018-10-04	9:37	1	1	1	1	1					NMP181004	28.1	35.1	6.58	102.6	8.17	4.91	4.91	5.03	4.95	0.014					3	1	0	
yes	yes	yes	no	no	22	North Kihei	NMS	RR	SS	GB	NHP	NHP181025		Haycraft Park	2018-10-25	8:16	2	2	2	2	2					NHP181025																		not sampled due to high surf  4-6 feet
yes	yes	yes	no	no	22	North Kihei	NMS	RR	SS	GB	NKP	NKP181025		Kealia Pond	2018-10-25	8:30	2	2	2	2	2					NKP181025	27.1	35.2	6.72	103.0	8.19	2.89	2.86	2.73	2.83	0.030				N	0	2	0	
yes	yes	yes	no	no	22	North Kihei	NMS	RR	SS	GB	NSB	NSB181025		Sugar Beach	2018-10-25	8:50	2	2	2	2	2					NSB181025	27.1	35.0	6.62	101.3	8.15	3.64	3.15	3.60	3.46	0.079					3	5	0	
